Index,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
68,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,22,Once a week,Male
69,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,47,Once a year,Male
70,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,56,Once a month,Male
71,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,55,Every three months,Male
72,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,56,Every three months,Female
73,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,56,Every three months,Female
74,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,37,Every three months,Female
75,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female
76,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,40,Every three months,Male
77,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,61,Once a week,Male
78,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,55,Every three months,Male
79,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,45,Once a year,Female
80,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,1,42,Once a month,Male
81,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,2,52,Every three months,Male
82,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,58,Once a year,Female
83,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,48,Once a month,Male
84,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,58,Once a week,Male
85,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,18,Once a year,Male
86,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,4,68,Once a month,Female
87,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1,49,Once a month,Female
88,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I hate it!-5,50,Once a week,Female
89,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,43,Every three months,Female
90,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,4,67,Every three months,Male
91,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,40,Once a week,Female
92,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I hate it!-5,35,Never,Male
93,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,42,Every three months,Female
94,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,41,Every three months,Female
95,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,32,Once a month,Male
96,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,3,21,Once a month,Female
97,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,56,Once a week,Female
98,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,2,27,Every three months,Male
99,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,48,Once a year,Female
100,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,32,Once a week,Male
101,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,3,50,Once a month,Male
102,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,42,Once a year,Female
103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,35,More than once a week,Male
104,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,4,57,Once a month,Female
105,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,3,68,Once a month,Male
106,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,3,51,Once a month,Female
107,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,42,Every three months,Female
108,No,Yes,No,Yes,No,No,No,No,No,No,No,0,44,Every three months,Female
109,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,2,57,Once a year,Female
110,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,56,Once a year,Female
111,No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,57,Every three months,Female
112,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,33,Once a week,Female
113,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,63,Every three months,Male
114,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,2,55,Once a month,Male
115,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,39,Every three months,Female
116,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,65,Never,Male
117,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,47,Once a week,Female
118,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,37,Every three months,Female
119,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,22,Once a year,Male
120,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,51,Every three months,Male
121,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a month,Female
122,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,49,Once a month,Female
123,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,55,Once a month,Female
124,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,48,Once a year,Male
125,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,24,Every three months,Female
126,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,47,Every three months,Male
127,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,54,Once a year,Male
128,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,23,Once a week,Female
129,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,34,Every three months,Female
130,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,3,32,Once a month,Female
131,No,Yes,No,No,No,Yes,Yes,No,No,No,No,3,58,Once a month,Female
132,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,46,Once a year,Female
133,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female
134,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,31,Once a month,Male
135,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,59,Once a year,Male
136,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,47,Once a month,Male
137,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,58,More than once a week,Female
138,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,55,Every three months,Male
139,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,4,62,Once a month,Female
140,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,20,Once a month,Male
141,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,42,Every three months,Male
142,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,29,Once a month,Male
143,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,1,63,Once a month,Male
144,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2,26,Once a week,Male
145,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,19,Once a month,Female
146,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,61,Once a year,Female
147,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,19,Once a week,Male
148,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,4,56,Once a month,Female
149,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,39,Once a year,Female
150,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,45,Once a month,Male
151,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,52,Once a year,Male
152,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,42,Once a month,Female
153,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,47,Once a month,Female
154,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,22,Once a week,Female
155,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,63,Once a month,Male
156,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,65,Every three months,Female
157,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,63,Every three months,Male
158,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,25,Once a month,Male
159,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,62,Once a year,Male
160,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,59,Once a year,Female
161,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,67,Once a year,Male
162,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male
163,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,69,Once a week,Male
164,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,40,Never,Male
165,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,67,Once a year,Male
166,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,37,Every three months,Female
167,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,65,Every three months,Male
168,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,64,Once a month,Female
169,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,57,Once a month,Female
170,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,Once a week,Male
171,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2,39,Once a month,Female
172,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,64,Every three months,Male
173,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,23,Once a year,Male
174,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,50,Once a week,Female
175,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,60,Every three months,Male
176,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,32,Once a year,Male
177,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female
178,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,37,Once a month,Male
179,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,3,25,More than once a week,Female
180,No,Yes,No,No,No,Yes,No,No,No,No,No,3,55,Once a month,Male
181,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,25,Once a month,Male
182,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,35,Once a year,Female
183,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,58,Never,Female
184,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,32,Never,Male
185,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I hate it!-5,45,Never,Female
186,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,60,Once a year,Female
187,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,59,Once a year,Male
188,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,36,Once a month,Female
189,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,55,Once a year,Male
190,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,55,Every three months,Female
191,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,22,Once a month,Female
192,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,21,Once a week,Female
193,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,62,Once a week,Male
194,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,29,Once a month,Male
195,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,36,Once a month,Female
196,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,44,Once a year,Male
197,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,47,Once a year,Female
198,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female
199,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,23,Once a year,Female
200,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,31,Once a week,Female
201,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,70,More than once a week,Female
202,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a week,Male
203,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,27,Every three months,Male
204,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,58,Never,Female
205,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,2,51,Once a week,Male
206,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,36,Every three months,Male
207,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,36,Once a month,Female
208,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,43,Every three months,Male
209,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,64,Never,Male
210,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,52,Once a month,Male
211,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,53,Never,Male
212,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,52,Never,Female
213,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3,33,Once a week,Female
214,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,24,Once a week,Male
215,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,4,64,Once a month,Female
216,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,41,Once a month,Male
217,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,I hate it!-5,56,Once a year,Female
218,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,49,Once a month,Female
219,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,24,Once a year,Female
220,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,62,Every three months,Female
221,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,56,Every three months,Male
222,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,3,67,Every three months,Male
223,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,27,Once a month,Male
224,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,53,Once a year,Male
225,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,60,Once a year,Female
226,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,51,Once a year,Female
227,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,I hate it!-5,67,Once a year,Female
228,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,27,Once a month,Female
229,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,56,Every three months,Male
230,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,39,Once a month,Male
231,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,35,Once a week,Female
232,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,68,Once a month,Female
233,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,57,Once a week,Female
234,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,50,Never,Female
235,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,64,Once a month,Female
236,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a week,Female
237,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,27,More than once a week,Male
238,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,70,Never,Male
239,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,51,Once a month,Male
240,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,60,Once a year,Female
241,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,49,Once a year,Female
242,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Never,Female
243,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,58,Never,Female
244,No,No,No,No,No,Yes,Yes,No,No,No,No,-3,70,Once a month,Female
245,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,3,59,More than once a week,Male
246,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,1,54,Once a year,Female
247,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,52,Every three months,Female
248,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,22,Once a week,Female
249,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,53,Every three months,Female
250,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,More than once a week,Female
251,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1,20,Every three months,Male
252,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,3,66,Once a month,Female
253,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,25,More than once a week,Female
254,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,31,Once a week,Female
255,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,67,Once a month,Female
256,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,3,56,Once a month,Female
257,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,48,Once a year,Female
258,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,54,Every three months,Female
259,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a month,Male
260,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,42,Once a week,Female
261,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,38,Once a week,Female
262,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,28,Every three months,Male
263,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,47,Once a week,Female
264,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,49,Once a year,Male
265,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,40,Every three months,Female
266,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,31,Once a week,Male
267,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,50,Never,Male
268,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,69,Once a year,Female
269,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,40,Once a month,Female
270,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I love it!+5,30,Once a month,Male
271,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,44,Once a year,Male
272,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,32,Once a month,Male
273,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,67,Once a week,Male
274,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,18,Once a week,Female
275,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,27,Once a year,Female
276,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,61,Once a year,Female
277,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,47,Once a year,Male
278,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,20,Every three months,Male
279,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,26,Once a week,Male
280,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,65,Once a year,Female
281,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,64,Never,Male
282,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,20,Once a week,Male
